net,length_um
pe_array\[3\].u_pe.accum_reg\[2\],43.09µm
_1194_,42.88µm
_2421_,42.72µm
net706,42.68µm
net550,42.58µm
_2959_,42.16µm
net608,42.06µm
pe_array\[0\].u_pe.accum_reg\[27\],42.02µm
clknet_leaf_32_clk,41.96µm
_3404_,41.9µm
pe_array\[0\].u_pe.weight_in\[4\],41.84µm
clknet_leaf_9_clk,41.805µm
net649,41.74µm
pe_array\[3\].u_pe.accum_reg\[20\],41.6µm
_2616_,41.06µm
pe_accum\[0\]\[9\],41.04µm
_2097_,40.92µm
clknet_leaf_48_clk,40.74µm
_3649_,40.59µm
_4063_,40.58µm
net586,40.5µm
pe_array\[0\].u_pe.accum_reg\[30\],40.48µm
_3556_,40.47µm
pe_array\[3\].u_pe.accum_reg\[13\],40.46µm
_0437_,40.44µm
_2843_,40.42µm
clknet_leaf_57_clk,40.42µm
_0484_,40.4µm
net259,40.04µm
_0545_,39.995µm
_0503_,39.86µm
net345,39.84µm
_1676_,39.72µm
net1009,39.64µm
net151,39.46µm
net588,39.4µm
_3526_,39.32µm
_1243_,39.14µm
pe_array\[2\].u_pe.accum_reg\[29\],39.12µm
_2723_,39.08µm
_0151_,39.045µm
net286,38.96µm
_4036_,38.7µm
_3422_,38.48µm
net484,38.48µm
_3348_,38.02µm
_3477_,37.94µm
_2852_,37.88µm
_1752_,37.8µm
_2354_,37.66µm
net210,37.64µm
_1863_,37.48µm
_0546_,37.44µm
_3243_,37.44µm
_3968_,37.42µm
net262,37.26µm
pe_array\[3\].u_pe.weight_in\[5\],37.2µm
_3985_,37.16µm
clknet_leaf_66_clk,37.12µm
_2284_,37.08µm
_2761_,37.04µm
net366,36.86µm
_2529_,36.8µm
pe_array\[2\].u_pe.accum_reg\[3\],36.8µm
pe_array\[2\].u_pe.accum_reg\[6\],36.8µm
_0436_,36.76µm
_1801_,36.7µm
pe_accum\[0\]\[6\],36.64µm
_0781_,36.56µm
clknet_leaf_46_clk,36.56µm
clknet_leaf_17_clk,36.48µm
clknet_leaf_63_clk,36.44µm
_2499_,36.38µm
pe_array\[3\].u_pe.weight_in\[6\],36.34µm
_4010_,36.32µm
_3884_,36.29µm
_2443_,36.24µm
_2322_,36.14µm
net560,36.14µm
_2619_,36.1µm
_0580_,36.08µm
net377,36.02µm
_2089_,36µm
_2575_,35.64µm
_3175_,35.64µm
_3626_,35.64µm
_2485_,35.6µm
_4366_,35.56µm
_0162_,35.465µm
_0492_,35.31µm
_2576_,35.3µm
_2122_,35.12µm
net287,35.06µm
_2180_,34.82µm
_2564_,34.82µm
_3239_,34.62µm
clknet_leaf_1_clk,34.58µm
pe_array\[2\].u_pe.accum_reg\[8\],34.5µm
_1511_,34.38µm
pe_array\[1\].u_pe.accum_reg\[6\],34.34µm
_1336_,34.3µm
_1741_,34.26µm
_3983_,34.26µm
_3653_,34.22µm
_0589_,33.98µm
clknet_leaf_65_clk,33.84µm
_3949_,33.78µm
pe_array\[3\].u_pe.accum_reg\[5\],33.78µm
_0807_,33.76µm
_1539_,33.64µm
pe_array\[3\].u_pe.accum_reg\[3\],33.6µm
_0485_,33.49µm
_3620_,33.44µm
net684,33.39µm
_2371_,33.34µm
clknet_leaf_53_clk,33.3µm
_3405_,33.28µm
_2962_,33.16µm
_0592_,33.1µm
net592,33.095µm
_4347_,33.04µm
_3976_,33.02µm
_2010_,32.92µm
_4061_,32.86µm
_0889_,32.85µm
_2366_,32.68µm
_2494_,32.68µm
_4427_,32.68µm
net453,32.68µm
_0679_,32.54µm
_1704_,32.38µm
pe_array\[3\].u_pe.accum_reg\[6\],32.35µm
_2643_,32.22µm
_0770_,32.2µm
_2455_,32.12µm
pe_array\[1\].u_pe.accum_reg\[3\],32.12µm
_1872_,32.1µm
_1907_,32.1µm
_0570_,31.84µm
_1567_,31.84µm
